Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ask,2,0,8842.092700011563,10146.14349999465,8842.092700011563,11450.194299977738,346.0,0.13944877043791287,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
GET,/health,62,0,6,7.7257080655169466,2.788499987218529,23.47020001616329,187.0,4.322911883575299,0.0,6,7,8,10,14,18,22,23,23,23,23
,Aggregated,64,0,6,324.55126406330237,2.788499987218529,11450.194299977738,191.96875,4.462360654013212,0.0,6,7,9,11,17,22,8800,11000,11000,11000,11000
